X,Y,CRASH_ID,DATE,TIME,CRASH_SEV,KILLED,SERIOUS_IN,OTHER_INJ,ROUTE,SYSTEM,long,lat
-95.597940005624736,45.318653259779168,50050255,2005/01/05,12:08,C,0,0,1,11,Municipal Street,-95.597940,45.318653
-93.16960567521069,44.455079207303456,50240613,2005/01/24,17:40,C,0,0,1,19,MN Trunk Highway,-93.169606,44.455079
-93.291906426888033,44.9500199972356,50250602,2005/01/25,18:35,C,0,0,1,700,Municipal Street,-93.291906,44.950020
-93.2779007414712,44.948347064298638,50410865,2005/02/10,14:10,C,0,0,1,3,County State Aid Highway,-93.277901,44.948347
-93.263760253956647,44.998679104210062,50420483,2005/02/11,17:49,B,0,0,1,66,County State Aid Highway,-93.263760,44.998679
-93.505547524165877,44.891765504864111,50350409,2005/02/04,06:41,A,0,2,0,62,County State Aid Highway,-93.505548,44.891766
-93.308961188373431,44.969941919147381,50350288,2005/02/01,12:09,C,0,0,1,2,County State Aid Highway,-93.308961,44.969942
-93.21108404320924,44.956793616168333,50340735,2005/02/03,16:20,C,0,0,1,513,Municipal Street,-93.211084,44.956794
-93.421122392286236,44.950938532710744,50460084,2005/02/15,06:02,C,0,0,1,73,County State Aid Highway,-93.421122,44.950939
-93.232421565480792,44.977914723876772,50670180,2005/03/07,19:00,C,0,0,1,1469,Municipal Street,-93.232422,44.977915
-93.235186426555032,44.979020542867381,50550324,2005/02/24,10:08,B,0,0,1,36,County State Aid Highway,-93.235186,44.979021
-93.41301805569428,45.212506938064479,50530257,2005/02/21,14:32,B,0,0,1,10,US Trunk Highway,-93.413018,45.212507
-96.262309725946437,46.976283818940004,50810277,2005/03/21,13:39,C,0,0,1,5,Municipal Street,-96.262310,46.976284
-93.167070075966834,44.686777851325878,50800469,2005/03/21,15:07,B,0,0,1,112,Municipal Street,-93.167070,44.686778
-93.332871053494983,45.075796043100716,50740130,2005/03/15,21:04,C,0,0,1,152,County State Aid Highway,-93.332871,45.075796
-93.0,-90.0,50940066,2005/04/03,15:36,C,0,0,1,9999,Unknown,-93.000000,-90.000000
-93.261155734563062,44.962713266794871,50910204,2005/04/01,13:05,B,0,0,1,5,County State Aid Highway,-93.261156,44.962713
-93.27783686401213,44.962723301789836,50890228,2005/01/13,18:00,C,0,0,1,5,County State Aid Highway,-93.277837,44.962723
-92.980850309490791,45.50048357249856,50930020,2005/04/02,14:38,C,0,0,1,30,County State Aid Highway,-92.980850,45.500484
-93.295811564945723,45.03153521593925,50870439,2005/03/28,18:45,C,0,0,1,262,Municipal State Aid Highway,-93.295812,45.031535
-93.293983072299056,44.959183466592833,50950422,2005/02/16,15:00,C,0,0,1,425,Municipal State Aid Highway,-93.293983,44.959183
-93.300649229986348,44.998709468276751,50940034,2005/02/07,15:29,C,0,0,1,66,County State Aid Highway,-93.300649,44.998709
-93.279694367297765,44.934133504306793,50900216,2005/03/31,12:25,B,0,0,1,158,Municipal State Aid Highway,-93.279694,44.934134
-93.248698818348288,45.048214278259394,51010095,2005/04/09,13:13,B,0,0,1,104,Municipal State Aid Highway,-93.248699,45.048214
-93.371014020396501,44.95954030424798,51080374,2005/04/18,11:26,C,0,0,1,296,Municipal State Aid Highway,-93.371014,44.959540
-93.3063186627069,44.980735524702617,51100392,2005/04/20,17:55,C,0,0,1,40,County State Aid Highway,-93.306319,44.980736
-93.251695639929736,44.974930207530527,51050014,2005/04/14,06:26,C,0,0,1,152,County State Aid Highway,-93.251696,44.974930
-93.288104130153059,44.946602905101692,50970120,2005/04/07,18:30,C,0,0,1,22,County State Aid Highway,-93.288104,44.946603
-93.26334756347326,44.94835271619106,51030040,2005/04/13,12:51,B,0,0,1,3,County State Aid Highway,-93.263348,44.948353
-93.0,-90.0,50970103,2005/04/07,14:33,C,0,0,1,122,County State Aid Highway,-93.000000,-90.000000
-93.288055246497478,44.954981961781392,51050223,2005/04/01,16:00,C,0,0,1,22,County State Aid Highway,-93.288055,44.954982
-95.022065511711119,45.13633451674324,50960172,2005/04/06,08:00,C,0,0,1,152,Municipal State Aid Highway,-95.022066,45.136335
-93.247348677083053,44.937803427533787,50960068,2005/04/06,06:15,C,0,0,1,152,County State Aid Highway,-93.247349,44.937803
-93.288051742011049,44.955531590109054,50960042,2005/02/12,20:00,B,0,0,1,22,County State Aid Highway,-93.288052,44.955532
-93.0,-90.0,51020110,2005/04/11,18:43,C,0,0,1,125,Municipal State Aid Highway,-93.000000,-90.000000
-93.0,-90.0,51100425,2005/04/20,17:50,N,0,0,0,9999,Unknown,-93.000000,-90.000000
-93.222761306263138,44.912631678982734,50960030,2005/02/15,18:10,N,0,0,0,247,Municipal State Aid Highway,-93.222761,44.912632
-93.587769159129735,45.571122090207744,50950486,2005/04/05,18:40,B,0,0,1,23,Municipal Street,-93.587769,45.571122
-94.350192445275525,45.975913790407652,51100393,2005/04/20,17:41,B,0,0,1,27,MN Trunk Highway,-94.350192,45.975914
-93.306944834008121,45.053033805489662,51030058,2005/04/13,16:37,B,0,0,1,221,Municipal Street,-93.306945,45.053034
-93.0,-90.0,51050104,2005/02/18,18:05,B,0,0,1,239,Municipal State Aid Highway,-93.000000,-90.000000
-93.275352463535597,44.975639265284926,51140113,2005/04/24,21:10,B,0,0,1,222,Municipal State Aid Highway,-93.275352,44.975639
-93.237772737345622,44.964650254401882,51170261,2005/03/08,14:22,C,0,0,1,711,Municipal Street,-93.237773,44.964650
-93.148415947017483,45.119408820578919,51170140,2005/03/01,15:37,B,0,0,1,343,Municipal Street,-93.148416,45.119409
-93.003359248852163,45.27938066436338,51140055,2005/04/21,17:16,C,0,0,1,2,County State Aid Highway,-93.003359,45.279381
-93.321122493395109,45.099792263392771,51120045,2005/03/03,14:25,B,0,0,1,106,Municipal State Aid Highway,-93.321122,45.099792
-96.316715736770632,46.880715185290704,51120018,2005/04/21,16:18,C,0,0,1,6,Municipal Street,-96.316716,46.880715
-93.288028890772537,44.959124867301668,51120009,2005/04/21,23:51,B,0,0,1,22,County State Aid Highway,-93.288029,44.959125
-93.0,-90.0,51170165,2005/03/04,12:08,C,0,0,1,122,County State Aid Highway,-93.000000,-90.000000
-96.764824322000536,46.876144575416518,51110227,2005/04/18,12:15,C,0,0,1,115,Municipal State Aid Highway,-96.764824,46.876145
-93.231256901114492,44.983825992663355,51220441,2005/05/02,21:05,B,0,0,1,233,Municipal State Aid Highway,-93.231257,44.983826
-96.725426021336261,46.876557178497286,51230369,2005/04/24,16:19,B,0,0,1,135,Municipal State Aid Highway,-96.725426,46.876557
-93.390732023488496,45.129984425945061,51210072,2005/05/01,14:06,C,0,0,1,169,US Trunk Highway,-93.390732,45.129984
-93.239696421002506,45.011392443627614,51230210,2005/03/25,15:30,C,0,0,1,268,Municipal Street,-93.239696,45.011392
-91.869209148839559,43.984317344276775,51240165,2005/03/31,15:30,B,0,0,1,29,County State Aid Highway,-91.869209,43.984317
-93.025250520525049,44.999128477203229,51190246,2005/04/29,16:12,C,0,0,1,65,County State Aid Highway,-93.025251,44.999128
-93.23242062772988,44.977916965243466,51230238,2005/03/28,00:00,B,0,0,1,36,County State Aid Highway,-93.232421,44.977917
-94.042041646305066,44.885948828527397,51240087,2005/05/03,17:46,C,0,0,1,23,County State Aid Highway,-94.042042,44.885949
-93.0,-90.0,51230006,2005/05/02,18:47,B,0,0,1,9999,Municipal Street,-93.000000,-90.000000
-93.15431466567162,44.955769017763465,51250331,2005/04/06,17:37,A,0,1,0,34,County State Aid Highway,-93.154315,44.955769
-93.256220276168506,44.988044803329451,51170271,2005/03/08,15:52,B,0,0,1,52,County State Aid Highway,-93.256220,44.988045
-93.0,-90.0,51230401,2005/05/02,18:00,B,0,0,1,9999,Alleyways,-93.000000,-90.000000
-93.255641515425523,44.972502284749915,51290393,2005/05/09,13:21,C,0,0,1,213,Municipal State Aid Highway,-93.255642,44.972502
-93.247346034225259,44.900737827242104,51300266,2005/04/12,16:51,N,0,0,0,152,County State Aid Highway,-93.247346,44.900738
-93.279394961370528,44.96769080732382,51310076,2005/04/07,13:21,B,0,0,1,159,Municipal State Aid Highway,-93.279395,44.967691
-93.105863150050155,44.989970800385422,51290251,2005/04/05,15:00,A,0,1,0,49,County State Aid Highway,-93.105863,44.989971
-93.381584281188069,45.021884361206155,51290378,2005/03/21,17:15,K,1,0,0,106,Municipal State Aid Highway,-93.381584,45.021884
-93.106682323393414,44.941337236614984,51300074,2005/04/13,19:20,B,0,0,1,5,MN Trunk Highway,-93.106682,44.941337
-92.983191485865973,45.396697808269742,51290240,2005/05/08,14:42,A,0,1,1,30,County State Aid Highway,-92.983191,45.396698
